scenario,budget,model,score_cut,tie_u_cut,train_policy_rate,source_select_policy_rate,select_abs_budget_deviation,threshold_tie_count_train,threshold_tie_fraction_train,tie_fraction_selected,source_select_ipw_gain,source_select_ipw_se
pc1_ess0.8,0.1,S-Logit,0.02704803501353273,1.0,0.10000009534442697,0.10013281808214122,0.00013281808214121726,1,4.767221348761333e-07,1.0,0.01427092827213516,0.00038056051721556476
pc1_ess0.8,0.3,S-Logit,0.004282966575867984,1.0,0.29999980931114606,0.3006788241344116,0.0006788241344116153,1,4.767221348761333e-07,1.0,0.016116500363932515,0.0005120915327496001
pc1_ess0.8,0.5,S-Logit,0.001635590241380526,1.0,0.5,0.500452382536103,0.00045238253610302426,1,4.767221348761333e-07,1.0,0.016417738118733483,0.0005335086257211166
pc1_ess0.8,0.1,T-Logit,0.027188683934831176,1.0,0.10000009534442697,0.10018932119732246,0.00018932119732245623,1,4.767221348761333e-07,1.0,0.014214551373890286,0.0003704552790251429
pc1_ess0.8,0.3,T-Logit,0.004959188482990314,1.0,0.29999980931114606,0.30041061314462725,0.00041061314462725873,1,4.767221348761333e-07,1.0,0.016340886028588724,0.00048628786513621713
pc1_ess0.8,0.5,T-Logit,0.002187499785789895,1.0,0.5,0.5001119333864034,0.00011193338640336226,1,4.767221348761333e-07,1.0,0.016735804798383665,0.0005097602634448533
pc1_ess0.8,0.1,S-HGB,0.031227206410731068,1.0,0.10000009534442697,0.09993899094019038,6.100905980963023e-05,1,4.767221348761333e-07,1.0,0.014477924047780519,0.000372582159003024
pc1_ess0.8,0.3,S-HGB,0.002124065470958402,0.7400506197206095,0.29999980931114606,0.30059514230559886,0.0005951423055988725,3,1.4301664046284e-06,0.6666666666666666,0.017104358252581497,0.0005165432680277179
pc1_ess0.8,0.5,S-HGB,0.0004346847463175688,0.2005073447471698,0.5,0.5007163021500508,0.0007163021500508071,6429,0.003064846605118661,0.20174210608181678,0.01734949959121841,0.0005378395873347833
pc1_ess0.8,0.1,T-HGB,0.03896729732424328,1.0,0.10000009534442697,0.10002410322761529,2.4103227615285272e-05,1,4.767221348761333e-07,1.0,0.013455286381109826,0.0003825914756168191
pc1_ess0.8,0.3,T-HGB,0.0029197710734716817,0.5751831558418152,0.29999980931114606,0.3007589298166939,0.0007589298166938985,346,0.0001649458586671421,0.546242774566474,0.016386885089843258,0.0005039641719214601
pc1_ess0.8,0.5,T-HGB,0.0005469654579891379,0.8004821115848054,0.5,0.5011039564339526,0.0011039564339525576,1732,0.0008256827376054628,0.7990762124711316,0.016661477046966293,0.0005147658193117362
pc1_ess0.8,0.1,TO-HGB,0.03846383719819498,0.4529658449645444,0.10000009534442697,0.09999907020190209,9.297980979178222e-07,3,1.4301664046284e-06,0.3333333333333333,0.01445857078420392,0.0003748155517635366
pc1_ess0.8,0.3,TO-HGB,0.003849267210129859,0.8375618288367522,0.29999980931114606,0.2999163896941179,8.361030588210916e-05,35212,0.016786339813258406,0.8378109735317505,0.016912508509300428,0.00047044927114983675
pc1_ess0.8,0.5,TO-HGB,0.0012021081129032919,0.39220860242309064,0.5,0.5004352170327568,0.00043521703275684054,210830,0.10050732769593518,0.3926813072143433,0.01758790935991564,0.000490043845997151
pc1_ess0.8,0.1,DR-HGB,0.028007523045430267,1.0,0.10000009534442697,0.10001409001733001,1.409001733000681e-05,2,9.534442697522666e-07,1.0,0.014248489705669541,0.0003580840607661696
pc1_ess0.8,0.3,DR-HGB,0.0028857118354120117,0.7624593642450838,0.29999980931114606,0.30038128874307746,0.0003812887430774681,2123,0.001012081092342031,0.7588318417333961,0.016856131611055564,0.0005026447163434554
pc1_ess0.8,0.5,DR-HGB,0.0018631608907002928,0.34444277275824886,0.5,0.5004030317139827,0.00040303171398270443,30885,0.014723563135649377,0.3494576655334305,0.017188502876827577,0.0005259231596675123
pc1_ess0.5,0.1,S-Logit,0.03440126155085843,1.0,0.09999976159426682,0.0999318232492725,6.817675072751106e-05,1,4.768114663621431e-07,1.0,0.015416908103221738,0.000384942542887479
pc1_ess0.5,0.3,S-Logit,0.005678844736698302,1.0,0.3000002384057332,0.30016065129521535,0.0001606512952153638,1,4.768114663621431e-07,1.0,0.018426807814708564,0.0005280315118179076
pc1_ess0.5,0.5,S-Logit,0.002164731522610864,1.0,0.49999976159426684,0.5008061150400485,0.0008061150400484607,1,4.768114663621431e-07,1.0,0.019126315233690974,0.0005702020711898603
pc1_ess0.5,0.1,T-Logit,0.03419979791786749,1.0,0.09999976159426682,0.10013549593226347,0.00013549593226346024,1,4.768114663621431e-07,1.0,0.015292476495037368,0.000374042085659561
pc1_ess0.5,0.3,T-Logit,0.006792185296666054,1.0,0.3000002384057332,0.3000441648133644,4.4164813364389044e-05,1,4.768114663621431e-07,1.0,0.018585990592746227,0.0005001333732470777
pc1_ess0.5,0.5,T-Logit,0.0029188417716865048,1.0,0.49999976159426684,0.5001100547129145,0.00011005471291447577,1,4.768114663621431e-07,1.0,0.019350236078148886,0.0005431177362181012
pc1_ess0.5,0.1,S-HGB,0.037435751731988876,1.0,0.09999976159426682,0.09966669144088776,0.000333308559112247,1,4.768114663621431e-07,1.0,0.015550307755239218,0.0003746094004500995
pc1_ess0.5,0.3,S-HGB,0.003911580314639451,1.0,0.3000002384057332,0.3004079170787763,0.0004079170787762987,4,1.9072458654485723e-06,1.0,0.01925439010968254,0.0005475269405610614
pc1_ess0.5,0.5,S-HGB,0.0007767467658220638,0.4950899803901949,0.49999976159426684,0.5003530326505177,0.00035303265051767063,312,0.00014876517750498863,0.5352564102564102,0.01970139104448902,0.000597563253777757
pc1_ess0.5,0.1,T-HGB,0.04437021474510816,1.0,0.09999976159426682,0.100026155860342,2.615586034199202e-05,1,4.768114663621431e-07,1.0,0.015021753671825424,0.00037874923806727905
