scenario,budget,source_winner,competitor,contrast,delta_hat,se_hat,lower_95_one_sided_family,upper_95_one_sided_family,gaussian_critical,oracle_ratio_delta_hat,oracle_ratio_se_hat,oracle_ratio_upper_95_one_sided_family,oracle_ratio_critical
pc1_ess0.8,0.1,TO-HGB,S-HGB,q=0.1:S-HGB-TO-HGB,7.37653803131561e-05,6.534779317508674e-05,-9.10451239228719e-05,0.0002385758845491841,2.5220515678999322,7.43236422169458e-05,6.533880908701058e-05,0.00023953870808480986,2.5285901009895966
pc1_ess0.8,0.1,TO-HGB,T-HGB,q=0.1:T-HGB-TO-HGB,-9.37469663714898e-05,7.64344198490147e-05,-0.00028651851479321905,9.902458205023943e-05,2.5220515678999322,-9.245251400932764e-05,7.642862419764279e-05,0.00010080414856908585,2.5285901009895966
pc1_ess0.8,0.1,TO-HGB,DR-HGB,q=0.1:DR-HGB-TO-HGB,-4.6429868025472856e-05,5.367141034752096e-05,-0.00018179193264383873,8.893219659289301e-05,2.5220515678999322,-4.652716578306071e-05,5.367357009550173e-05,8.919129224519619e-05,2.5285901009895966
pc1_ess0.8,0.3,TO-HGB,S-Logit,q=0.3:S-Logit-TO-HGB,-5.483179363297843e-06,9.778770457620236e-05,-0.00025210881301104436,0.00024114245428444867,2.5220515678999322,-5.723516450294218e-06,9.785620974493952e-05,0.00024171472683112157,2.5285901009895966
pc1_ess0.8,0.3,TO-HGB,T-Logit,q=0.3:T-Logit-TO-HGB,3.0439098948066454e-05,9.695065003108378e-05,-0.000214075439971746,0.00027495363786787894,2.5220515678999322,3.09349901684312e-05,9.700967078193796e-05,0.00027623268340789923,2.5285901009895966
pc1_ess0.8,0.3,TO-HGB,S-HGB,q=0.3:S-HGB-TO-HGB,8.74776028607878e-05,7.752223055059394e-05,-0.00010803746024643768,0.0002829926659680133,2.5220515678999322,8.788531768609407e-05,7.749727488919185e-05,0.0002838441598245742,2.5285901009895966
pc1_ess0.8,0.3,TO-HGB,T-HGB,q=0.3:T-HGB-TO-HGB,-5.234817872890659e-05,8.424704354192657e-05,-0.0002648235669847563,0.00016012720952694317,2.5220515678999322,-5.1029809236345755e-05,8.424648016357178e-05,0.00016199500654847824,2.5285901009895966
pc1_ess0.8,0.3,TO-HGB,DR-HGB,q=0.3:DR-HGB-TO-HGB,5.5440181266554167e-05,6.927496479425791e-05,-0.0001192748523090166,0.00023015521484212495,2.5220515678999322,5.54112087105578e-05,6.92673038463774e-05,0.0002305598275387463,2.5285901009895966
pc1_ess0.8,0.5,TO-HGB,S-Logit,q=0.5:S-Logit-TO-HGB,8.839118958768798e-05,0.00010220675816296834,-0.0001693795250871955,0.0003461619042625715,2.5220515678999322,8.792299517264484e-05,0.00010224525052108866,0.00034645932351347103,2.5285901009895966
pc1_ess0.8,0.5,TO-HGB,T-Logit,q=0.5:T-Logit-TO-HGB,2.810999635679252e-05,9.728057959398644e-05,-0.00021723664193443515,0.00027345663464802016,2.5220515678999322,2.8121868860319098e-05,9.730375208754376e-05,0.000274163173178028,2.5285901009895966
pc1_ess0.8,0.5,TO-HGB,S-HGB,q=0.5:S-HGB-TO-HGB,0.00016906128958362206,7.212738830708055e-05,-1.284770318477768e-05,0.0003509702823520218,2.5220515678999322,0.0001690477695652848,7.21142436254506e-05,0.00035139513213695134,2.5285901009895966
pc1_ess0.8,0.5,TO-HGB,T-HGB,q=0.5:T-HGB-TO-HGB,-8.167111950027563e-05,8.085895301689248e-05,-0.00028560156873527623,0.000122259329734725,2.5220515678999322,-8.036523037892828e-05,8.086735575384663e-05,0.0001241151648734524,2.5285901009895966
pc1_ess0.8,0.5,TO-HGB,DR-HGB,q=0.5:DR-HGB-TO-HGB,0.00011084761306254797,6.90843143249958e-05,-6.338659019809944e-05,0.00028508181632319536,2.5220515678999322,0.0001108043635566549,6.906165602984881e-05,0.00028543298335167907,2.5285901009895966
pc1_ess0.5,0.1,DR-HGB,S-Logit,q=0.1:S-Logit-DR-HGB,-7.75752945497829e-05,4.749690511690576e-05,-0.00020122225538871777,4.6071666289151985e-05,2.6032635291625503,-7.693548252331595e-05,4.758216990770086e-05,4.6598600443618766e-05,2.596226342904583
pc1_ess0.5,0.1,DR-HGB,T-Logit,q=0.1:T-Logit-DR-HGB,-2.7939563283238932e-05,5.0565136293834374e-05,-0.00015957393844411158,0.0001036948118776337,2.6032635291625503,-2.7400074014929956e-05,5.0662579543281946e-05,0.00010413144959483748,2.596226342904583
pc1_ess0.5,0.1,DR-HGB,S-HGB,q=0.1:S-HGB-DR-HGB,0.0001286024464712371,5.4391638901752055e-05,-1.2993323373073018e-05,0.0002701982163155472,2.6032635291625503,0.00012872115922609722,5.4399861160946784e-05,0.00026995551182249915,2.596226342904583
pc1_ess0.5,0.1,DR-HGB,T-HGB,q=0.1:T-HGB-DR-HGB,3.684462687410554e-05,5.6247310892503505e-05,-0.00010958194618581631,0.00018327119993402738,2.6032635291625503,3.6757516844290673e-05,5.62680798905159e-05,0.0001828421881207077,2.596226342904583
pc1_ess0.5,0.1,DR-HGB,TO-HGB,q=0.1:TO-HGB-DR-HGB,3.508025637148552e-05,3.23530317523435e-05,-4.914321124722826e-05,0.0001193037239901993,2.6032635291625503,3.509011172228782e-05,3.238608687828568e-05,0.00011917172361928954,2.596226342904583
pc1_ess0.5,0.3,TO-HGB,S-Logit,q=0.3:S-Logit-TO-HGB,-3.391346358123514e-05,7.821754016905776e-05,-0.00023753433324415,0.0001697074060816797,2.6032635291625503,-3.355579604973752e-05,7.821585082701149e-05,0.00016951025630004493,2.596226342904583
pc1_ess0.5,0.3,TO-HGB,T-Logit,q=0.3:T-Logit-TO-HGB,3.4504134037934784e-05,7.674122732197316e-05,-0.0001652735042325306,0.00023428177230840018,2.6032635291625503,3.482318251385138e-05,7.674523646723774e-05,0.00023407118712253546,2.596226342904583
pc1_ess0.5,0.3,TO-HGB,S-HGB,q=0.3:S-HGB-TO-HGB,0.00013459716981587184,5.520487439418154e-05,-9.11566632650051e-06,0.0002783100059582442,2.6032635291625503,0.00013477797429616308,5.5182874197659494e-05,0.0002780452059653163,2.596226342904583
pc1_ess0.5,0.3,TO-HGB,T-HGB,q=0.3:T-HGB-TO-HGB,1.4052188240026723e-05,6.040820357475054e-05,-0.00014320628498834816,0.0001713106614684016,2.6032635291625503,1.3971368031415123e-05,6.038583355758504e-05,0.000170746659851869,2.596226342904583
pc1_ess0.5,0.3,TO-HGB,DR-HGB,q=0.3:DR-HGB-TO-HGB,3.3556929639581165e-05,6.796809978373787e-05,-0.00014338194567390468,0.00021049580495306698,2.6032635291625503,3.376571046025791e-05,6.792284227890341e-05,0.00021010878286970008,2.596226342904583
pc1_ess0.5,0.5,TO-HGB,S-Logit,q=0.5:S-Logit-TO-HGB,-3.771983211800071e-05,5.9309062047145244e-05,-0.0001921169502941727,0.00011667728605817129,2.6032635291625503,-3.749646367270838e-05,5.932632663783272e-05,0.00011652810837219482,2.596226342904583
pc1_ess0.5,0.5,TO-HGB,T-Logit,q=0.5:T-Logit-TO-HGB,-6.151791101618064e-05,5.18501118799721e-05,-0.00019649741625630987,7.34615942239486e-05,2.6032635291625503,-6.12515309158547e-05,5.1888513970230005e-05,7.346279594782891e-05,2.596226342904583
pc1_ess0.5,0.5,TO-HGB,S-HGB,q=0.5:S-HGB-TO-HGB,5.632334831545742e-05,3.616892982588185e-05,-3.783390758910039e-05,0.00015048060422001523,2.6032635291625503,5.635504474359917e-05,3.617548287332082e-05,0.00015027478634660826,2.596226342904583
pc1_ess0.5,0.5,TO-HGB,T-HGB,q=0.5:T-HGB-TO-HGB,-9.290632853486389e-05,5.6563407987451075e-05,-0.00024015578563373695,5.4343128564009175e-05,2.6032635291625503,-9.300521273493926e-05,5.6546088316587534e-05,5.380123134079436e-05,2.596226342904583
pc1_ess0.5,0.5,TO-HGB,DR-HGB,q=0.5:DR-HGB-TO-HGB,-6.263479329276036e-08,4.714096671153034e-05,-0.00012278299416288552,0.00012265772457630003,2.6032635291625503,-1.6217237046244298e-08,4.7092462534899225e-05,0.00012224647454830626,2.596226342904583
