scenario,budget,model,score_cut_hex,tie_u_cut_hex,score_cut_decimal,tie_u_cut_decimal,threshold_tie_count_train,tie_selected_count_train,source_train_policy_rate,source_select_policy_rate,source_select_abs_budget_deviation,propensity_adjusted_ipw_gain,propensity_adjusted_ipw_se,invalid_r12_policy_rate,r1f_minus_invalid_r12_policy_rate
null_ess1.0,0.1,DR-HGB,0x1.ce3571545fde9p-7,0x1.d08569afe81c6p-1,0.01410549195929796,0.9072678591947401,165,149,0.10000004771267806,0.09995370923532951,4.6290764670497975e-05,0.006686325641645133,0.0003579370311653676,0.0999622948485605,-8.585613230999156e-06
null_ess1.0,0.3,DR-HGB,0x1.e664569369e19p-10,0x1.0098c70a55668p-4,0.001855438026589945,0.06264569997923675,51529,3213,0.3000001431380342,0.30054368395785325,0.0005436839578532582,0.00722722996255279,0.00045352986791436683,0.323322746795241,-0.02277906283738773
null_ess1.0,0.5,DR-HGB,0x1.926642825e2eep-11,0x1.9cbec06efdd7ap-2,0.000767516045285436,0.4030714099639777,263099,106189,0.5000002385633904,0.5002479095820452,0.00024790958204523594,0.007443298921288571,0.00046456404393221176,0.5752053213630806,-0.07495741178103532
pc1_ess0.8,0.1,S-Logit,0x1.bb27ae7377c88p-6,0x1.0000000000000p+0,0.02704803501353273,1.0,1,1,0.10000009534442697,0.10013281808214122,0.00013281808214121726,0.010005861819708245,0.0004228169667802656,0.1001328180821412,2.7755575615628914e-17
pc1_ess0.8,0.3,S-Logit,0x1.18b0415f8af58p-8,0x1.0000000000000p+0,0.004282966575867984,1.0,1,1,0.29999980931114606,0.3006788241344116,0.0006788241344116153,0.011224506761218694,0.0005487122850350322,0.3006788241344116,0.0
pc1_ess0.8,0.5,S-Logit,0x1.acc29a62b30a0p-10,0x1.0000000000000p+0,0.001635590241380526,1.0,1,1,0.5,0.500452382536103,0.00045238253610302426,0.011489008298313006,0.0005690154322423017,0.500452382536103,0.0
pc1_ess0.8,0.1,T-Logit,0x1.bd759b14917f8p-6,0x1.0000000000000p+0,0.027188683934831176,1.0,1,1,0.10000009534442697,0.10018932119732246,0.00018932119732245623,0.009999697222453205,0.0004132406440935881,0.1001893211973224,5.551115123125783e-17
pc1_ess0.8,0.3,T-Logit,0x1.450160596173cp-8,0x1.0000000000000p+0,0.004959188482990314,1.0,1,1,0.29999980931114606,0.30041061314462725,0.00041061314462725873,0.011536621208162871,0.0005240281194371024,0.3004106131446272,5.551115123125783e-17
pc1_ess0.8,0.5,T-Logit,0x1.1eb85014778d2p-9,0x1.0000000000000p+0,0.002187499785789895,1.0,1,1,0.5,0.5001119333864034,0.00011193338640336226,0.011901464091887456,0.0005461082829820545,0.5001119333864034,0.0
pc1_ess0.8,0.1,S-HGB,0x1.ffa06591e3d80p-6,0x1.0000000000000p+0,0.031227206410731068,1.0,1,1,0.10000009534442697,0.09993899094019038,6.100905980963023e-05,0.010326526334239992,0.0004144876857698684,0.0999389909401903,6.938893903907228e-17
pc1_ess0.8,0.3,S-HGB,0x1.1667cf76f3d98p-9,0x1.7ae7ea322b4a3p-1,0.002124065470958402,0.7400506197206095,3,2,0.29999980931114606,0.30059514230559886,0.0005951423055988725,0.012242409697835292,0.0005526942394421259,0.3005951423055988,5.551115123125783e-17
pc1_ess0.8,0.5,S-HGB,0x1.c7cccc4fe3710p-12,0x1.9aa398426008cp-3,0.0004346847463175688,0.2005073447471698,6429,1297,0.5,0.5007163021500508,0.0007163021500508071,0.012501219394068647,0.0005725636437659251,0.5031330619753346,-0.0024167598252837763
pc1_ess0.8,0.1,T-HGB,0x1.3f385873e052cp-5,0x1.0000000000000p+0,0.03896729732424328,1.0,1,1,0.10000009534442697,0.10002410322761529,2.4103227615285272e-05,0.0095413683139265,0.00042118373167219,0.1000241032276152,9.71445146547012e-17
pc1_ess0.8,0.3,T-HGB,0x1.7eb3428b73c70p-9,0x1.267e681719f12p-1,0.0029197710734716817,0.5751831558418152,346,189,0.29999980931114606,0.3007589298166939,0.0007589298166938985,0.01172569364672816,0.0005394051254712804,0.300830452747303,-7.152293060913584e-05
pc1_ess0.8,0.5,T-HGB,0x1.1ec4760868350p-11,0x1.99d8ca94945bbp-1,0.0005469654579891379,0.8004821115848054,1732,1384,0.5,0.5011039564339526,0.0011039564339525576,0.011987222905242517,0.0005496168022660684,0.5012706048622718,-0.0001666484283192604
pc1_ess0.8,0.1,TO-HGB,0x1.3b18835b098cbp-5,0x1.cfd647494f970p-2,0.03846383719819498,0.4529658449645444,3,1,0.10000009534442697,0.09999907020190209,9.297980979178222e-07,0.010466919500183015,0.0004147275438131749,0.0999997854312081,-7.152293060169734e-07
pc1_ess0.8,0.3,TO-HGB,0x1.f887f98fe8c9ap-9,0x1.acd4e76e76ae9p-1,0.003849267210129859,0.8375618288367522,35212,29501,0.29999980931114606,0.2999163896941179,8.361030588210916e-05,0.012374534906054887,0.0005070844859824514,0.3026986316948145,-0.0027822420006965998
pc1_ess0.8,0.5,TO-HGB,0x1.3b201c1fec943p-10,0x1.919f21c277d98p-2,0.0012021081129032919,0.39220860242309064,210830,82789,0.5,0.5004352170327568,0.00043521703275684054,0.013055031002712957,0.0005253002966165362,0.5613398533636876,-0.060904636330930795
pc1_ess0.8,0.1,DR-HGB,0x1.cae010e169e95p-6,0x1.0000000000000p+0,0.028007523045430267,1.0,2,2,0.10000009534442697,0.10001409001733001,1.409001733000681e-05,0.010295752634047249,0.0003993856886742984,0.10001409001733,1.3877787807814457e-17
pc1_ess0.8,0.3,DR-HGB,0x1.7a3c6beae4855p-9,0x1.866112e3ec551p-1,0.0028857118354120117,0.7624593642450838,2123,1611,0.29999980931114606,0.30038128874307746,0.0003812887430774681,0.012110007536253195,0.0005388195507238662,0.3006266123950669,-0.0002453236519894264
pc1_ess0.8,0.5,DR-HGB,0x1.e86a9c5ef847bp-10,0x1.60b59b315c678p-2,0.0018631608907002928,0.34444277275824886,30885,10793,0.5,0.5004030317139827,0.00040303171398270443,0.012469765797793785,0.0005604279257437463,0.5098440585543929,-0.00944102684041015
pc1_ess0.5,0.1,S-Logit,0x1.19d0aca9aaa20p-5,0x1.0000000000000p+0,0.03440126155085843,1.0,1,1,0.09999976159426682,0.0999318232492725,6.817675072751106e-05,0.010988089042462063,0.0004280872263454612,0.0999318232492725,0.0
pc1_ess0.5,0.3,S-Logit,0x1.742b346c55960p-8,0x1.0000000000000p+0,0.005678844736698302,1.0,1,1,0.3000002384057332,0.30016065129521535,0.0001606512952153638,0.01319159247033672,0.0005658300434661647,0.3001606512952153,5.551115123125783e-17
