scenario,budget,model,source_select_policy_rate,abs_budget_deviation,propensity_adjusted_ipw_gain,propensity_adjusted_ipw_se
pc1_ess0.8,0.1,TO-HGB,0.09999978543120817,2.1456879183145983e-07,0.010466919500183015,0.0004147275438131749
pc1_ess0.8,0.3,TO-HGB,0.30269863169481454,0.002698631694814546,0.012380417930424882,0.0005070892584729845
pc1_ess0.8,0.5,TO-HGB,0.5613398533636876,0.061339853363687635,0.013076890314095643,0.0005267070183158554
pc1_ess0.8,0.1,DR-HGB,0.10001409001733001,1.409001733000681e-05,0.010295752634047249,0.0003993856886742984
pc1_ess0.8,0.3,DR-HGB,0.30062661239506694,0.00062661239506695,0.012111128285910006,0.0005388451691898475
pc1_ess0.8,0.5,DR-HGB,0.5098440585543929,0.009844058554392854,0.012433253667039807,0.0005612937131234161
pc1_ess0.5,0.1,S-Logit,0.0999318232492725,6.817675072751106e-05,0.010988089042462063,0.0004280872263454612
pc1_ess0.5,0.3,S-Logit,0.30016065129521535,0.0001606512952153638,0.01319159247033672,0.0005658300434661647
pc1_ess0.5,0.5,S-Logit,0.5008061150400485,0.0008061150400484607,0.0137895039994733,0.0006060333556928398
pc1_ess0.5,0.1,T-Logit,0.10013549593226347,0.00013549593226346024,0.01093019859832528,0.00041765760327651846
pc1_ess0.5,0.3,T-Logit,0.3000441648133644,4.4164813364389044e-05,0.013422568034766765,0.0005393477392001665
pc1_ess0.5,0.5,T-Logit,0.5001100547129145,0.00011005471291447577,0.01411154904782138,0.0005799438573905209
pc1_ess0.5,0.1,S-HGB,0.09966669144088776,0.000333308559112247,0.011315599839794604,0.00041679639664674424
pc1_ess0.5,0.3,S-HGB,0.3004079170787763,0.0004079170787762987,0.013993075818459506,0.000584283679246234
pc1_ess0.5,0.5,S-HGB,0.5004366456466929,0.0004366456466928792,0.014435165914309376,0.0006314725329104794
pc1_ess0.5,0.1,T-HGB,0.100026155860342,2.615586034199202e-05,0.01095975856950234,0.0004188808054966463
pc1_ess0.5,0.3,T-HGB,0.3007202151926958,0.0007202151926958278,0.013813221286491498,0.0005710904735998831
pc1_ess0.5,0.5,T-HGB,0.500972626391406,0.0009726263914060507,0.014333287784551852,0.0005919834590948392
pc1_ess0.5,0.1,TO-HGB,0.09968384282471858,0.00031615717528142573,0.011299334156730796,0.00042250109348667607
pc1_ess0.5,0.3,TO-HGB,0.30000485955875206,4.859558752068338e-06,0.01451171222751585,0.0005430578389092276
pc1_ess0.5,0.5,TO-HGB,0.599241480050082,0.09924148005008204,0.015047469196630709,0.0005690128340549063
pc1_ess0.5,0.1,DR-HGB,0.09984821025309726,0.00015178974690274738,0.011405400532811808,0.0004004217899729125
pc1_ess0.5,0.3,DR-HGB,0.30073808121751955,0.0007380812175195595,0.013944494666035536,0.0005818223124922634
pc1_ess0.5,0.5,DR-HGB,0.5154605432414971,0.015460543241497149,0.01450738488411045,0.0006161260591516612
